glue_key,count,mean,std,min,25%,50%,75%,max
GBG500_ap_minirocket_iso_forest,30,0.2762,0.04314,0.1715,0.2521,0.2735,0.3036,0.4023
GBG500_ap_minirocket_lof,30,0.4772,0.05447,0.3547,0.4372,0.4838,0.4971,0.5982
GBG500_ap_minirocket_ocsvm,30,0.5179,0.04568,0.3768,0.5164,0.5195,0.5552,0.5644
GBG500_ap_minirocket_pca_iso_forest,30,0.3423,0.04523,0.2406,0.3154,0.3344,0.3673,0.4516
GBG500_ap_minirocket_pca_lof,30,0.4869,0.03186,0.425,0.4663,0.4843,0.502,0.5962
GBG500_ap_minirocket_pca_ocsvm,30,0.5364,0.02193,0.4897,0.5201,0.5241,0.5591,0.5677
GBG500_ap_random,1,0.012,,0.012,0.012,0.012,0.012,0.012
GBG500_ap_spectral_ae_iso_forest,30,0.6122,0.05338,0.5284,0.5707,0.6058,0.6454,0.7226
GBG500_ap_spectral_ae_lof,30,0.7707,0.04724,0.6667,0.7384,0.7646,0.8106,0.8407
GBG500_ap_spectral_ae_ocsvm,30,0.3816,0.1026,0.1784,0.3167,0.3841,0.4604,0.5823
GBG500_ap_spectral_ae_rec_err,30,0.6203,0.04166,0.5186,0.5981,0.6189,0.6284,0.7249
GBG500_ap_spectral_deep_svdd,30,0.5645,0.09344,0.3626,0.4983,0.5649,0.6264,0.7476
GBG500_ap_spectral_energy,1,0.6671,,0.6671,0.6671,0.6671,0.6671,0.6671
GBG500_ap_spectral_iso_forest,30,0.5431,0.03517,0.4826,0.5199,0.5456,0.5762,0.6034
GBG500_ap_spectral_lof,30,0.6825,0.02558,0.5951,0.6663,0.6964,0.6982,0.7143
GBG500_ap_spectral_ocsvm,30,0.3643,0.0925,0.2064,0.2807,0.3858,0.427,0.5596
GBG500_ap_spectral_pca_iso_forest,30,0.5701,0.06388,0.4503,0.5183,0.5861,0.6165,0.6913
GBG500_ap_spectral_pca_lof,30,0.6949,0.01657,0.6331,0.6938,0.6994,0.7037,0.7174
GBG500_ap_spectral_pca_ocsvm,30,0.3905,0.09123,0.2217,0.333,0.3928,0.4503,0.6037
GBG500_ap_ts2vec_iso_forest,30,0.1671,0.08655,0.03486,0.09653,0.1537,0.2118,0.4386
GBG500_ap_ts2vec_lof,30,0.2372,0.1113,0.05892,0.1657,0.2093,0.2946,0.6019
GBG500_ap_ts2vec_ocsvm,30,0.2195,0.106,0.05177,0.1304,0.2181,0.28,0.532
SRV3490_cont_or,30,2.448,0.0956,2.248,2.379,2.44,2.526,2.612
SRV3490_cont_pval,30,4.579e-56,1.64e-55,1.734e-66,4.63e-64,2.089e-60,5.401e-59,8.019e-55
SRV3490_cont_sig001,30,1,0,1,1,1,1,1
SRV3490_cont_sig01,30,1,0,1,1,1,1,1
SRV3490_cont_sig05,30,1,0,1,1,1,1,1
SRV3490_q95_or,30,4.718,0.6152,3.55,4.243,4.697,5.16,5.828
SRV3490_q95_pval,30,3.843e-16,2.008e-15,1.645e-25,6.514e-23,2.179e-20,1.21e-18,1.101e-14
SRV3490_q95_sig001,30,1,0,1,1,1,1,1
SRV3490_q95_sig01,30,1,0,1,1,1,1,1
SRV3490_q95_sig05,30,1,0,1,1,1,1,1
SRV3490_q99_or,30,4.363,0.8752,3.058,3.548,4.38,4.942,6.328
SRV3490_q99_pval,30,0.0001977,0.0003636,1.852e-07,3.962e-06,1.814e-05,0.000303,0.001262
SRV3490_q99_sig001,30,0.9,0.3051,0,1,1,1,1
SRV3490_q99_sig01,30,1,0,1,1,1,1,1
SRV3490_q99_sig05,30,1,0,1,1,1,1,1
